Action,3.158532929451071,1175
Adventure,3.16870906252558,707
Animation,3.175885456020017,223
Comedy,3.1370494677399545,2113
Crime,3.162583937888231,907
Documentary,3.074235609323983,503
Drama,3.1391216242914504,3724
Family,3.1569054919202837,386
Fantasy,3.142913521900703,463
Foreign,3.113985834407912,271
History,3.11879104584954,306
Horror,3.134020262392475,723
Music,3.189047782134765,248
Mystery,3.1487693926555482,475
Romance,3.1562777018393637,1206
Science Fiction,3.1571636839139865,593
TV Movie,3.148118069220997,87
Thriller,3.1482817481660956,1427
War,3.114663382606141,231
Western,3.2140607181871013,185
