Action,3.158532929451071,1175
Adventure,3.1687090625255814,707
Animation,3.1758854560200165,223
Comedy,3.1370494677399545,2113
Crime,3.1625839378882326,907
Documentary,3.074235609323986,503
Drama,3.13912162429145,3724
Family,3.156905491920285,386
Fantasy,3.1429135219007036,463
Foreign,3.1139858344079117,271
History,3.1187910458495414,306
Horror,3.1340202623924758,723
Music,3.1890477821347676,248
Mystery,3.1487693926555482,475
Romance,3.1562777018393637,1206
Science Fiction,3.157163683913987,593
TV Movie,3.1481180692209967,87
Thriller,3.148281748166091,1427
War,3.1146633826061416,231
Western,3.2140607181871017,185
